Feature Category,Feature,CarCoating (Vercel),Minato-Shibuya-Coating,PIT in plus,Notes
Navigation,Fixed header with store name,Yes,Yes,Yes,All three
Navigation,Hamburger mobile menu,Yes,No (footer nav),Yes,Minato uses bottom nav
Navigation,Menu dropdown (Coatings + Options),Yes,No,No,Only CarCoating
Navigation,Sticky anchor nav for coatings,Yes,Yes (collapsible),No,PIT in plus has no quick-jump
Navigation,Breadcrumb navigation,No,No,Yes,Only PIT in plus
Navigation,Login/user account,No,No,Yes,Only PIT in plus
Navigation,Desktop nav includes Reviews/Access,Yes,Yes,Yes,All three now
Coating Menu,Number of coating types,8,8,8,Same count but different products
Coating Menu,EX Keeper + Premium,Yes,Yes,Yes (no Premium),PIT in plus lacks Premium variants
Coating Menu,Diamond Keeper + Premium,Yes,Yes,No,PIT in plus has W Diamond instead
Coating Menu,Diamond II Keeper + Premium,Yes,Yes,No,PIT in plus has Eco Diamond instead
Coating Menu,Fresh Keeper,Yes,Yes,Yes,All three
Coating Menu,Crystal Keeper,Yes,Yes,Yes,All three
Coating Menu,Matt Texture Keeper,No,No,Yes,Only PIT in plus
Coating Menu,Pure Keeper (polymer),No,No,Yes,Only PIT in plus — 3-month entry
Coating Menu,Tier level badges (Flagship/Premium/Standard/Entry),Yes,No,No,Only CarCoating
Coating Descriptions,Full description per tier,Yes,Yes,Yes,All three
Coating Descriptions,Benefits checklist (4 per tier),Yes,No,No,Only CarCoating
Coating Descriptions,"Recommended for" box,Yes,No,No,Only CarCoating
Coating Descriptions,Technology explanation with diagram,Yes,No,Yes (cross-section),PIT in plus has molecular diagrams
Coating Descriptions,Layer structure images (KeePer official),Yes,No,Yes,CarCoating uses KeePer site images
Coating Descriptions,Patent badges (small format),Yes,No,Yes (mentions),CarCoating shows actual patent images
Coating Descriptions,Image captions/subtitles,Yes,No,No,Only CarCoating — accurate descriptions from KeePer site
Pricing,Size-based pricing table (SS-XL),Yes,Yes,Yes (range only),PIT in plus shows min-max not full table
Pricing,Regular price (strikethrough),Yes,Yes,Yes,All three
